code,xmlPath,importanceRank,stdev
X4467,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].DistributionSystemType.AirDistribution.DuctLeakageMeasurement[HVACDistributionAir1Supply].DuctLeakage.Units,327,1601
X4513,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].DistributionSystemType.AirDistribution.Ducts[HVACDistribution1Return].DuctType,328,1601
X5639,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].HeatPumpType,329,1601
X5247,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].AnnualHeatingEfficiency.Units,330,1601
X5493,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].HeatPumpFuel,331,1601
X5487,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].FractionHeatLoadServed,332,1601
X5481,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].FractionCoolLoadServed,333,1601
X5465,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].CompressorType,334,1601
X5319,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].BackupSystemFuel,335,1601
X5313,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].BackupAnnualHeatingEfficiency.Value,336,1601
X5287,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].BackupAnnualHeatingEfficiency.Units,337,1601
X0119,HPXML.Building.BuildingDetails.Appliances.CookingRange.IsInduction,338,1601
X0184,HPXML.Building.BuildingDetails.Systems.HVAC.HVACControl.ControlType,339,1601
X4530,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].DistributionSystemType.AirDistribution.Ducts[HVACDistribution1Supply].DuctType,340,1601
X0118,HPXML.Building.BuildingDetails.Appliances.CookingRange.IsInduction,341,1601
X5199,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].AnnualCoolingEfficiency.Units,342,1601
X4785,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].CoolingSystem[CentralAirConditioner1].FractionCoolLoadServed,343,1601
X4755,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].CoolingSystem[CentralAirConditioner1].CoolingSystemType,344,1601
X4611,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].CoolingSystem[CentralAirConditioner1].CoolingSystemFuel,345,1601
X0096,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,346,1601
X4563,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].CoolingSystem[CentralAirConditioner1].AnnualCoolingEfficiency.Units,347,1601
X6127,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[MiniSplitHP1].HeatPumpType,348,1601
X7680,HPXML.Building.BuildingDetails.Systems.WaterHeating.WaterHeatingSystem[WaterHeater1].WaterHeaterType,349,1601
X6732,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatingSystem[Furnace1].AnnualHeatingEfficiency.Units,350,1601
X5773,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[MiniSplitHP1].BackupAnnualHeatingEfficiency.Units,351,1601
X1433,HPXML.Building.BuildingDetails.Enclosure.FrameFloors.FrameFloor[FloorAboveVentedCrawl1].ExteriorAdjacentTo,352,1601
X0677,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallBasementConditionedToCrawlVented1].ExteriorAdjacentTo,353,1601
X1246,HPXML.Building.BuildingDetails.Enclosure.FrameFloors.FrameFloor[FloorAboveConditionedBasement1].ExteriorAdjacentTo,354,1601
X6773,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatingSystem[Furnace1].HeatingSystemFuel,355,1601
X1348,HPXML.Building.BuildingDetails.Enclosure.FrameFloors.FrameFloor[FloorAboveConditionedBasement1].InteriorAdjacentTo,356,1601
X0168,HPXML.Building.BuildingDetails.ClimateandRiskZones.ClimateZoneIECC.ClimateZone,357,1601
X7515,HPXML.Building.BuildingDetails.Systems.WaterHeating.WaterHeatingSystem[WaterHeater1].FuelType,358,1601
X2757,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory3Exposed].InteriorAdjacentTo,359,1601
X2728,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory2Exposed].InteriorAdjacentTo,360,1601
X2616,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory3Exposed].ExteriorAdjacentTo,361,1601
X1232,HPXML.Building.BuildingDetails.Enclosure.Foundations.Foundation[CrawlspaceVented1].FoundationType.Crawlspace.Vented,362,1601
X2587,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory2Exposed].ExteriorAdjacentTo,363,1601
X1528,HPXML.Building.BuildingDetails.Enclosure.FrameFloors.FrameFloor[FloorAboveVentedCrawl1].InteriorAdjacentTo,364,1601
X7517,HPXML.Building.BuildingDetails.Systems.WaterHeating.WaterHeatingSystem[WaterHeater1].FuelType,365,1601
X2258,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistCrawlspaceVentedExposed1].InteriorAdjacentTo,366,1601
X0164,HPXML.Building.BuildingDetails.ClimateandRiskZones.ClimateZoneIECC.ClimateZone,367,1601
X2182,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistCrawlspaceVentedExposed1].ExteriorAdjacentTo,368,1601
X1810,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistBasementConditionedExposed1].ExteriorAdjacentTo,369,1601
X7677,HPXML.Building.BuildingDetails.Systems.WaterHeating.WaterHeatingSystem[WaterHeater1].WaterHeaterType,370,1601
X3391,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOfBasementConditioned1].PerimeterInsulation.Layer.InstallationType,371,1601
X3309,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOfBasementConditioned1].InteriorAdjacentTo,372,1601
X0183,HPXML.Building.BuildingDetails.Systems.HVAC.HVACControl.ControlType,373,1601
X0763,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallBasementConditionedToCrawlVented1].InteriorAdjacentTo,374,1601
X3691,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabUnderCrawlspaceVented1].UnderSlabInsulation.Layer.InstallationType,375,1601
X3897,HPXML.Building.BuildingDetails.Enclosure.Walls.Wall[WallExposed1].Siding,376,1601
X3670,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabUnderCrawlspaceVented1].PerimeterInsulation.Layer.InstallationType,377,1601
X3412,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOfBasementConditioned1].UnderSlabInsulation.Layer.InstallationType,378,1601
X3595,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabUnderCrawlspaceVented1].InteriorAdjacentTo,379,1601
X0870,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallCrawlspaceVentedExposed1].ExteriorAdjacentTo,380,1601
X3553,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOnGrade1].UnderSlabInsulation.Layer.InstallationType,381,1601
X6765,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatingSystem[Furnace1].FractionHeatLoadServed,382,1601
X3532,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOnGrade1].PerimeterInsulation.Layer.InstallationType,383,1601
X3462,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOnGrade1].InteriorAdjacentTo,384,1601
X0959,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallCrawlspaceVentedExposed1].InteriorAdjacentTo,385,1601
X3900,HPXML.Building.BuildingDetails.Enclosure.Walls.Wall[WallExposed1].Siding,386,1601
X1226,HPXML.Building.BuildingDetails.Enclosure.Foundations.Foundation[BasementConditioned1].FoundationType.Basement.Conditioned,387,1601
X3429,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOfBasementConditioned1].extension.CarpetFraction,388,1601
X0056,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.extension.IsVented,389,1601
X2152,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistCrawlspaceVentedExposed1].Emittance,390,938
X2528,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory3Exposed].Emittance,391,938
X1780,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistBasementConditionedExposed1].Emittance,392,938
X2527,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory2Exposed].Emittance,393,938
X6759,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatingSystem[Furnace1].AnnualHeatingEfficiency.Value,394,815
X4434,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].DistributionSystemType.AirDistribution.DuctLeakageMeasurement[HVACDistributionAir1Return].DuctLeakage.Value,395,763
X4488,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].DistributionSystemType.AirDistribution.DuctLeakageMeasurement[HVACDistributionAir1Supply].DuctLeakage.Value,396,763
X1870,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistBasementConditionedExposed1].Insulation.AssemblyEffectiveRValue,397,732
X0754,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallBasementConditionedToCrawlVented1].Insulation.AssemblyEffectiveRValue,398,732
X0943,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallCrawlspaceVentedExposed1].Insulation.AssemblyEffectiveRValue,399,732
X1960,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistBasementConditionedExposed1].SolarAbsorptance,400,732
X2242,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistCrawlspaceVentedExposed1].Insulation.AssemblyEffectiveRValue,401,732
X2332,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistCrawlspaceVentedExposed1].SolarAbsorptance,402,732
X2827,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory2Exposed].SolarAbsorptance,403,732
X2828,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory3Exposed].SolarAbsorptance,404,732
X1327,HPXML.Building.BuildingDetails.Enclosure.FrameFloors.FrameFloor[FloorAboveConditionedBasement1].Insulation.AssemblyEffectiveRValue,405,732
X0376,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallBasementConditionedExposed1].Insulation.AssemblyEffectiveRValue,406,732
X4212,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowWest1].SHGC,407,658
X4128,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowEast1].SHGC,408,658
X4164,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowNorth1].SHGC,409,658
X4200,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowSouth1].SHGC,410,658
X4131,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowEast1].UFactor,411,645
X4167,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowNorth1].UFactor,412,645
X4203,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowSouth1].UFactor,413,645
X4215,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowWest1].UFactor,414,645
