inputVectorIndex,inputCode,xmlPath,label,categoricalValue,isActionable,isRelevant,units,decimals,displayPrecision,importanceRank,stdev
37,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_02,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_02,,,FALSE,FALSE,,,,,
38,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_03,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_03,,,FALSE,FALSE,,,,,
39,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_04,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_04,,,FALSE,FALSE,,,,,
40,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_05,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_05,,,FALSE,FALSE,,,,,
41,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_06,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_06,,,FALSE,FALSE,,,,,
42,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_07,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_07,,,FALSE,FALSE,,,,,
43,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_08,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_08,,,FALSE,FALSE,,,,,
44,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_09,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_09,,,FALSE,FALSE,,,,,
45,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_10,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_10,,,FALSE,FALSE,,,,,
46,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_11,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_11,,,FALSE,FALSE,,,,,
47,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_12,WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_12,,,FALSE,FALSE,,,,,
48,WEATHER_DIRECT_SOLAR_RADIATION_AVG_01,WEATHER_DIRECT_SOLAR_RADIATION_AVG_01,,,FALSE,FALSE,,,,,
49,WEATHER_DIRECT_SOLAR_RADIATION_AVG_02,WEATHER_DIRECT_SOLAR_RADIATION_AVG_02,,,FALSE,FALSE,,,,,
50,WEATHER_DIRECT_SOLAR_RADIATION_AVG_03,WEATHER_DIRECT_SOLAR_RADIATION_AVG_03,,,FALSE,FALSE,,,,,
51,WEATHER_DIRECT_SOLAR_RADIATION_AVG_04,WEATHER_DIRECT_SOLAR_RADIATION_AVG_04,,,FALSE,FALSE,,,,,
52,WEATHER_DIRECT_SOLAR_RADIATION_AVG_05,WEATHER_DIRECT_SOLAR_RADIATION_AVG_05,,,FALSE,FALSE,,,,,
53,WEATHER_DIRECT_SOLAR_RADIATION_AVG_06,WEATHER_DIRECT_SOLAR_RADIATION_AVG_06,,,FALSE,FALSE,,,,,
54,WEATHER_DIRECT_SOLAR_RADIATION_AVG_07,WEATHER_DIRECT_SOLAR_RADIATION_AVG_07,,,FALSE,FALSE,,,,,
55,WEATHER_DIRECT_SOLAR_RADIATION_AVG_08,WEATHER_DIRECT_SOLAR_RADIATION_AVG_08,,,FALSE,FALSE,,,,,
56,WEATHER_DIRECT_SOLAR_RADIATION_AVG_09,WEATHER_DIRECT_SOLAR_RADIATION_AVG_09,,,FALSE,FALSE,,,,,
57,WEATHER_DIRECT_SOLAR_RADIATION_AVG_10,WEATHER_DIRECT_SOLAR_RADIATION_AVG_10,,,FALSE,FALSE,,,,,
58,WEATHER_DIRECT_SOLAR_RADIATION_AVG_11,WEATHER_DIRECT_SOLAR_RADIATION_AVG_11,,,FALSE,FALSE,,,,,
59,WEATHER_DIRECT_SOLAR_RADIATION_AVG_12,WEATHER_DIRECT_SOLAR_RADIATION_AVG_12,,,FALSE,FALSE,,,,,
60,WEATHER_DIRECT_SOLAR_RADIATION_MAX_01,WEATHER_DIRECT_SOLAR_RADIATION_MAX_01,,,FALSE,FALSE,,,,,
61,WEATHER_DIRECT_SOLAR_RADIATION_MAX_02,WEATHER_DIRECT_SOLAR_RADIATION_MAX_02,,,FALSE,FALSE,,,,,
62,WEATHER_DIRECT_SOLAR_RADIATION_MAX_03,WEATHER_DIRECT_SOLAR_RADIATION_MAX_03,,,FALSE,FALSE,,,,,
63,WEATHER_DIRECT_SOLAR_RADIATION_MAX_04,WEATHER_DIRECT_SOLAR_RADIATION_MAX_04,,,FALSE,FALSE,,,,,
64,WEATHER_DIRECT_SOLAR_RADIATION_MAX_05,WEATHER_DIRECT_SOLAR_RADIATION_MAX_05,,,FALSE,FALSE,,,,,
65,WEATHER_DIRECT_SOLAR_RADIATION_MAX_06,WEATHER_DIRECT_SOLAR_RADIATION_MAX_06,,,FALSE,FALSE,,,,,
66,WEATHER_DIRECT_SOLAR_RADIATION_MAX_07,WEATHER_DIRECT_SOLAR_RADIATION_MAX_07,,,FALSE,FALSE,,,,,
67,WEATHER_DIRECT_SOLAR_RADIATION_MAX_08,WEATHER_DIRECT_SOLAR_RADIATION_MAX_08,,,FALSE,FALSE,,,,,
68,WEATHER_DIRECT_SOLAR_RADIATION_MAX_09,WEATHER_DIRECT_SOLAR_RADIATION_MAX_09,,,FALSE,FALSE,,,,,
69,WEATHER_DIRECT_SOLAR_RADIATION_MAX_10,WEATHER_DIRECT_SOLAR_RADIATION_MAX_10,,,FALSE,FALSE,,,,,
70,WEATHER_DIRECT_SOLAR_RADIATION_MAX_11,WEATHER_DIRECT_SOLAR_RADIATION_MAX_11,,,FALSE,FALSE,,,,,
71,WEATHER_DIRECT_SOLAR_RADIATION_MAX_12,WEATHER_DIRECT_SOLAR_RADIATION_MAX_12,,,FALSE,FALSE,,,,,
72,WEATHER_DIRECT_SOLAR_RADIATION_MIN_01,WEATHER_DIRECT_SOLAR_RADIATION_MIN_01,,,FALSE,FALSE,,,,,
73,WEATHER_DIRECT_SOLAR_RADIATION_MIN_02,WEATHER_DIRECT_SOLAR_RADIATION_MIN_02,,,FALSE,FALSE,,,,,
74,WEATHER_DIRECT_SOLAR_RADIATION_MIN_03,WEATHER_DIRECT_SOLAR_RADIATION_MIN_03,,,FALSE,FALSE,,,,,
75,WEATHER_DIRECT_SOLAR_RADIATION_MIN_04,WEATHER_DIRECT_SOLAR_RADIATION_MIN_04,,,FALSE,FALSE,,,,,
76,WEATHER_DIRECT_SOLAR_RADIATION_MIN_05,WEATHER_DIRECT_SOLAR_RADIATION_MIN_05,,,FALSE,FALSE,,,,,
77,WEATHER_DIRECT_SOLAR_RADIATION_MIN_06,WEATHER_DIRECT_SOLAR_RADIATION_MIN_06,,,FALSE,FALSE,,,,,
78,WEATHER_DIRECT_SOLAR_RADIATION_MIN_07,WEATHER_DIRECT_SOLAR_RADIATION_MIN_07,,,FALSE,FALSE,,,,,
79,WEATHER_DIRECT_SOLAR_RADIATION_MIN_08,WEATHER_DIRECT_SOLAR_RADIATION_MIN_08,,,FALSE,FALSE,,,,,
80,WEATHER_DIRECT_SOLAR_RADIATION_MIN_09,WEATHER_DIRECT_SOLAR_RADIATION_MIN_09,,,FALSE,FALSE,,,,,
81,WEATHER_DIRECT_SOLAR_RADIATION_MIN_10,WEATHER_DIRECT_SOLAR_RADIATION_MIN_10,,,FALSE,FALSE,,,,,
82,WEATHER_DIRECT_SOLAR_RADIATION_MIN_11,WEATHER_DIRECT_SOLAR_RADIATION_MIN_11,,,FALSE,FALSE,,,,,
83,WEATHER_DIRECT_SOLAR_RADIATION_MIN_12,WEATHER_DIRECT_SOLAR_RADIATION_MIN_12,,,FALSE,FALSE,,,,,
84,WEATHER_DIRECT_SOLAR_RADIATION_VAR_01,WEATHER_DIRECT_SOLAR_RADIATION_VAR_01,,,FALSE,FALSE,,,,,
85,WEATHER_DIRECT_SOLAR_RADIATION_VAR_02,WEATHER_DIRECT_SOLAR_RADIATION_VAR_02,,,FALSE,FALSE,,,,,
86,WEATHER_DIRECT_SOLAR_RADIATION_VAR_03,WEATHER_DIRECT_SOLAR_RADIATION_VAR_03,,,FALSE,FALSE,,,,,
87,WEATHER_DIRECT_SOLAR_RADIATION_VAR_04,WEATHER_DIRECT_SOLAR_RADIATION_VAR_04,,,FALSE,FALSE,,,,,
88,WEATHER_DIRECT_SOLAR_RADIATION_VAR_05,WEATHER_DIRECT_SOLAR_RADIATION_VAR_05,,,FALSE,FALSE,,,,,
89,WEATHER_DIRECT_SOLAR_RADIATION_VAR_06,WEATHER_DIRECT_SOLAR_RADIATION_VAR_06,,,FALSE,FALSE,,,,,
90,WEATHER_DIRECT_SOLAR_RADIATION_VAR_07,WEATHER_DIRECT_SOLAR_RADIATION_VAR_07,,,FALSE,FALSE,,,,,
91,WEATHER_DIRECT_SOLAR_RADIATION_VAR_08,WEATHER_DIRECT_SOLAR_RADIATION_VAR_08,,,FALSE,FALSE,,,,,
92,WEATHER_DIRECT_SOLAR_RADIATION_VAR_09,WEATHER_DIRECT_SOLAR_RADIATION_VAR_09,,,FALSE,FALSE,,,,,
93,WEATHER_DIRECT_SOLAR_RADIATION_VAR_10,WEATHER_DIRECT_SOLAR_RADIATION_VAR_10,,,FALSE,FALSE,,,,,
94,WEATHER_DIRECT_SOLAR_RADIATION_VAR_11,WEATHER_DIRECT_SOLAR_RADIATION_VAR_11,,,FALSE,FALSE,,,,,
95,WEATHER_DIRECT_SOLAR_RADIATION_VAR_12,WEATHER_DIRECT_SOLAR_RADIATION_VAR_12,,,FALSE,FALSE,,,,,
